id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
44354132,antara_motor,APS PART,Trusted Seller,platinum,3z36inv,Lampu Penerang Plat Nomor Belakang Honda Beat New Led 2020 Beat Street 2020 K1A Original KDH371,Aksesoris Motor Lainnya,Baru,4.7,37,9,30,91,0,20500,20500,0,"Lampu Penerang Plat Nomor Belakang Honda Beat New Led 2020 Beat Street 2020 Original <br><br/><br><br/>Kode Part : 33720-K1A-N01<br><br/>For Use : <br><br/>- Beat New 2020 <br><br/>- Beat Street 2020 <br><br/><br><br/>SKU : ERB096<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yxgb52,Striping Lis Sticker Honda Sonic 150R 2019 2020 Hitam,Sticker & Striping,Baru,5,18,76,3,24,0,23000,23000,0,"Striping Lis Sticker Honda Sonic 150R 2019 2020 Hitam<br><br/><br><br/>SKU :  KDL133<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yxd9cu,Striping Lis Sticker Honda All New Cbr 150R 2020 Led Abs Hitam Merah,Sticker & Striping,Baru,4.8,35,473,22,83,0,46000,46000,0,"Striping Lis Sticker Honda All New Cbr 150R 2020 Led Abs Hitam Merah<br><br/><br><br/>SKU :  KDL260<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yxc7ku,Striping Lis Sticker Honda Cbr 150 K45 2015 Three Colour Biru Putih Merah Lokal,Sticker & Striping,Baru,4.9,32,362,24,37,0,69000,69000,0,"Striping Lis Sticker Honda Cbr 150 K45 2015 Three Colour Putih Merah Lokal <br><br/><br><br/>SKU :  KDL259<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yxbg39,Striping Lis Sticker Honda Cbr 150 K45 2015 Merah Lokal,Sticker & Striping,Baru,5,60,93,21,75,0,69000,69000,0,"Striping Lis Sticker Honda Cbr 150 K45 2015 Merah Lokal<br><br/><br><br/>SKU :  KDL258<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yxaajf,Striping Lis Sticker Honda Cbr 150 K45 2015 Hitam Lokal,Sticker & Striping,Baru,4.8,54,78,24,69,0,69000,69000,0,"Striping Lis Sticker Honda Cbr 150 K45 2015 Hitam Lokal <br><br/><br><br/>SKU : KDL257<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3ynlwns,Karet Head Honda Beat Fi Pop Street Spacy Fi Scoopy Fi KDH369,Sparepart Lainnya,Baru,4.8,174,18,89,576,0,6500,6500,0,"Karet Head Honda Beat Fi Pop Street Spacy Fi Scoopy Fi<br><br/><br><br/>Kode Part : 12391-GGC-900<br><br/>For Use : <br><br/>- Beat Fi<br><br/>- Beat Pop<br><br/>- Beat Street<br><br/>- Spacy Fi<br><br/>- Scoopy Fi <br><br/><br><br/>SKU :  ERB011<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3ynh0qq,Setelan Tensioner Tonjokan Keteng Tiger Gl Pro Neotech Megapro Cb 150 KDH368,Sparepart Lainnya,Baru,4.8,99,43,68,238,0,15624,18600,16,"<p>Setelan Tensioner Tonjokan Keteng Tiger Gl Pro Neotech Megapro Cb 150 </p><p>Kode Part : 14520-KCJ-661<br>For Use :</p><ul><li>Tiger</li><li>Gl Pro Neotech</li><li>Megapro</li><li>Cb 150</li></ul><p>SKU : ERB010<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yhus6l,Filter Saringan Udara Nmax 155,Filter,Baru,4.9,172,73,63,325,0,14025,16500,15,"<p>Filter Saringan Udara Nmax 155 </p><p>Kode Part : 2DP-E4451-00<br>For Use :</p><ul><li>Yamaha Nmax 155</li></ul><p>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3yhp2cv,Switch Sensor Langsam Gas Mio J Mio Gt X Ride Fino 125 Original KDO127,Sparepart Lainnya,Baru,4.6,78,172,58,132,0,45500,45500,0,"<p>Switch Sensor Langsam Gas Mio J Mio Gt X Ride Fino 125 Original </p><p>Kode Part : 54P-E3750-00<br>For Use : Yamaha Matic</p><ul><li>Mio J</li><li>Mio Gt</li><li>X Ride</li><li>Fino Fi </li></ul><p>SKU : KDO127<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
